Node ID,Language,NUMBER_FOLLOWERS,Node Label,IS_VERIFIED,LOCATION,IS_NEWS_AGENCY,TWEET_COUNT
2608799046,en,463,ricardonotes,0,USA,,4
25984168,en,2154,sweed20,0,North Dakota,,2
858066056786694144,en,30331,Patriot911News,0,,,3
1333385753146126336,en,2338,RebeccaCPayton2,0,"Alabama, USA",,1
392529491,en,229,PlymouthAT,0,"Coconut Creek, FL",,1
797951260603256832,en,231,akaAnneBentley,0,,,1
2307343860,en,448,OldSchool1000,0,New England,,1
29915986,en,209,jdelvalle21,0,California & Florida,,1
1313210887591743489,en,87,gl0bal_feed,0,,,11
184597401,en,829,LReWH1,0,"Washington, USA",,1
402449787,en,2630,AlyssaPatrickTV,0,"Decatur, IL",,1
2281358053,en,250,ShirleyGuillem1,0,,,1
1519839029331742722,zxx,2949,Olmech70,0,United States,,1
1549143496141029381,en,215,MyrnaLaboy4000,0,,,2
1219699240168980481,en,92,lyhjournalism,0,Lynchburg,,3
1226322434078527488,en,8220,RJMcCoon,0,Canton Michigan,,1
61370564,en,722,ninock,0,"Princeton, NJ",,1
16750391,en,985,buckitman,0,USA,,4
1192935606143213568,en,73,terusamacorp,0,,,1
185158739,ja,197,hansuiokiro,0,平野と丘とを行ったり来たり,,1
41311398,en,685,Sly___B,0,"Chicago, IL",,1
1580254473846390786,en,1236,UltraMagaJew2,0,,,1
233440612,en,266,FranCasso,0,A tiny castle of broken dreams,,40
1269091685398708225,zxx,74,RutkowskiDr,0,,,4
241640955,en,5124,jmhamiltonblog,0,️‍,,28
1513205292611235840,en,2894,Muskadoptme,0,I TOLD YOU SO!!!,,2
15438913,en,2822402,MailOnline,1,,1,1
383412949,en,245,jmarzola1,0,,,1
38413034,en,1858,Gobnait917,0,United States,,1
159279277,en,16974,christaylor_nyc,1,"South Orange, NJ",,1
919031263683477509,en,2299,newyork1073,0,,,1
49162956,en,2915,response09,0,,,1
2151411331,en,1121,shyredmd,0,USA,,23
335576999,en,17174,alaskarebel,0,"Bessemer, PA",,7
1483511348944195584,en,201,Charliebrown_87,0,"New York, NY",,1
1623165288,en,3149,DoolinDebi,0,,,1
1484973209787195393,en,430,GoodVsEvil07,0,,,3
3027336593,en,470,K17_rose,0,"Dublin, OH",,1
931268919884525569,en,1571,legalscoop,0,United States,,3
1512069082866089986,en,1633,MoviesDoe,0,Conservative America,,1
1363717893519630340,en,406,judoball,0,"Reno, NV",,1
918589739422437376,en,197,MarcyShawn,0,East Syracuse NY,,4
34435025,en,653,OswaldSobrino22,0,USA,,1
14238738,en,4257,eeUS,0,"Wisconsin, USA",,1
57443437,en,64704,AKNewsNow,1,"Anchorage, Alaska",1,2
1300423518618869760,en,578,nactezuma,0,,,4
143225212,en,3482,DrSpockets,0,"Ontario, Canada",,8
2349538040,en,599,zzinovvv,0,,,1
1389442747740786689,en,219,Mattdascat832,0,Crenshaw & Slauson,,4
1375519903269150723,en,1246,Lou05316597,0,US Emerald Coast,,9
245891006,en,9590,EPWCmte,1,"Washington, DC",,9
213136364,en,1992,KatVonRocker,0,,,5
1575891291074068480,en,72,Richard54009210,0,,,1
1284721300414451712,en,2114,Resa72296131,0,,,5
1307772923592220674,en,161,PatrickOnyebuc,0,,,1
1441588851928035333,en,497,markjiron7,0,"Phoenix, AZ",,2
303429035,en,6300,fortymileFrank,0,Arizona ,,3
752937729407741952,en,717,genge_ian,0,"Lee's Summit, MO",,1
50240793,en,1453,craigmatsuda,0,Los Angeles,,2
1076972630635274240,en,2207,Amos5210,0,United States,,3
4086750921,en,66229,MAGA2ARIGHTS,0,NY,,1
1263338419264110592,en,248,iamjanaedaneice,0,"Atlanta, GA",,1
14662354,en,449483,WashTimes,1,"Washington, D.C.",1,17
1155339794,en,325,EchoCongo,0,"Atlanta, GA",,2
1493661785479540738,en,821,dwinfrey731,0,,,15
1586073400388120576,en,1689,MichaelCOToole,0,Northern Nevada,,1
23618029,en,438,hampdrh,0,"Roanoke, VA",,7
1600289592464359430,en,107,Charlot39428702,0,,,3
763893464056508416,en,106,warcables,0,,,1
286467155,en,12682,Pamsta67,0,Out There,,4
216491891,en,2089,BMoonan,0,,,5
1528044298935095299,en,713,RitaLaw21535002,0,,,7
1434769239341154308,en,28614,browneyegirl400,0,East Coast ,,8
2764664617,en,1406,trxprince,0,日本,,1
1211194173723820033,en,1361,PatsyPatriot,0,Vegas,,2
1221428908790296576,en,5190,America28297223,0,Jacksonville Jaguars,,5
1187199404052082688,en,11,VxxCOJZaLxia3ly,0,,,1
1361192783344664577,ja,178,sabitoram,0,日本,,1
1138473498286968832,en,702,bruins4_life,0,"Massachusetts, USA",,1
2889152097,en,1385,archie4445,0,,,2
