Node ID,USAGE_COUNT
MakingWaves,1
FreightIndustryNews,1
BREAKING,5437
shorts,19
realpeoplerealnews,4
VoteBIGblue,80
FreshResists,246
wtpBLUE,230
Ohio,3241
NationalNews,2
Attorney,1
NEW,53
Calhoun,2174
Filed,1
Alabama,2309
AndyVermautFromBelgiumLovesNewYorkTimes,3
TrendingNow,9
HotTopics,8
Trending,22
News,270
NewsUpdate,12
Forumidex,8
MyForumLink,8
thebeat,2
thereidout,6
inners,5
NorfolkSouthern,740
EastPalestineOhio,173
EastPalestine,2236
usnews,11
usnewstoday,3
EastPalestineOH,768
EPA,38
TrainDerailment,388
lawsuit,3
LiveOnNews9,33
EASTPALESTINEINCIDENT,4
OHIOTRAINDERAILMENT,121
OHIOTRAINDISASTER,143
OHIOTRAINCRASH,17
Trump,127
ElaineChao,98
railsafety,100
deregulation,101
Sues,4
business,23
PalestineOhio,17
LabCorp,1
sierraclub,1
sierraclubohio,1
toxictrain,7
WSJ,5
Buzzerly,11
TwitterAlternative,11
derailment,215
East,4
Norfolk,256
Palestine,11
Southern,28
suing,1
toxic,29
train,248
SmartNews,49
Finance,12
CFO,1
daytrading,3
stocks,7
stockmarket,4
sued,1
SF,1
SanFrancisco,1
Transit,28
SFMTA,1
BART,1
MUNI,1
Transportation,27
VIXC,6
Commentary,6
eWeatherNews,6
10TV,106
maryland,3
ugossip,4
ToledoBuzz,1
Toledo,1
ToledoOhio,1
ONEV1,167
DonaldTrump,3
NationalizeTheRailroads,1
eastpalenstine,11
itseasybeinggreen,1
Chicago,15
IL,1
SiliconValleyBank,1
attorneygeneral,3
eastpalestinetrain,3
Yes,1
SVBCollapse,6
TheLegalLowdown,1
TrainAccident,32
RaviVisvesvarayaSharadaPrasad,10
forex,5
fx,5
Reuters,4
Baltimore,1
US,41
TheFOXposts,2
CriminalTrump,1
GOPCult,1
LegalSide,1
EnvironmentalJustice,5
civilrights,2
werenotgoinback,2
diversityequityandinclusion,2
youbelong,2
businessnews,6
marketnews,5
NNR,1
poppyline,1
steam,1
heritagerailway,1
PaHouse,1
NPR,3
DEI,8
RePublican,13
LIEing,11
OhioChemicalDisaster,110
Trumpcult,2
SVBBank,2
stockmarketcrash,2
founders,2
Banks,3
DarlingtonPa,1
PaidByThePeople,1
ProtectThePeople,1
nscorp,1
BS,2
GOP,10
TFG,2
SVB,6
JayErsapah,2
BreakingNews,264
conservative,8
ConservativeNews,8
brandsafetynsfsensitive,8
companies,9
miscpeople,1
businessandindustrysectors,8
disastersandsafety,2
continentsandregions,1
brandsafetynsfaccidentsanddisasters,8
economyandtrade,2
accidents,8
VoteGreen,7
Trump2024,17
buttigieg,9
TwitchCon,1
GreatYarmouth,5
ampFW,14
PeterThiel,2
MayorPete,3
ButtigiegMustGo,2
CentralBridge,1
CREATEProgramChicago,1
WomenInRail,1
EastPalestineCoverUp,7
NCSWIC,7
x22report,7
alcohol,5
youngpeople,5
workingtogether,5
imports,1
fuel,1
green,1
derailment_3,2
Democrat,1
Methwold,1
GreatBritain,13
CalhounCounty,7
NationalTrust,2
usa,216
music,8
fashion,4
instagood,5
losangeles,3
media,4
entertainment,15
sports,10
politics,23
hiphop,3
america,21
world,4
dioxins,18
vinylchloride,23
springfield,2582
ImpeachJohnFetterman,1
NSC,4
UnitedStates,26
ETTD,1
DemVoice1,317
GOPHypocrisy,10
NorfolkSouthernDerailment,14
conflictsofinterest,1
chemicalsandenvironment,3
chemicalindustryandchemicals,4
TikTok,5
avoidance,2
ArmedForces,2
RussianFederation,2
nobodycares,1
savelivestimeandstopcomplaining,1
politicstoday,1
DemocracyNotAutocracy,3
PoliticsLive,2
maga,8
gamblingtwitter,1
Norfolk_Southern,30
businessfigures,1
alanshaw,15
Photo,7
Photography,9
TravelDestination,5
Travel,14
Vacation,5
TravelTips,5
short,45
shortnews,45
VIDEOS,2
HateWontWin,2
NorfolkSouthernMeltdown,1
safety,14
CEO,21
Florida,29
Biden,119
Americaunderattack,4
remove,1
railcars,1
wheels,2
cleanup,3
Testifies,4
Before,3
FoxBusiness,92
SocialMedia,7
CapitalismKills,1
climatechange,2
airpollution,1
pollution,4
climateline,1
美国,11
墮軌,11
脱轨,11
出軌,11
脱軌,11
incident,12
意外,11
Железнодорожный,2
bahn,2
eisenbahn,2
railway,14
transport,3
铁路,2
鐵路,2
ohiotoxiccloud,1
RT,7
StopWillowProject,6
climate,9
UFCVegas71,1
CorruptionGreedandLies,2
wtpEarth,31
ClimateAction,6
AmericaDeservesBetter,2
RepublicansAreTheProblem,4
VoteBlue2024,1
Trains,19
ProudBlue,139
topstories,5
bbc,5
Diversity,6
Capitalism,1
inclusion,6
Norwich,11
Dereham,1
SAFU,2
TheDailyBeast,2
LeftWing,3
Cleveland,75
OpLive,3
OnPatrolLive,3
OpNation,3
OfficialOpLive,2
Reelz,2
ShawnPatrolLive,1
OnPatrolLiveNation,1
OPLNation,1
QuitNow,1
INNnews,3
anotherone,5
Wildlife,1
derailments,13
SpringfieldOhio,22
NewsBreak,21
XiJinping,2
China,4
disaster,16
Sentate,7
cgtnamerica,25
Congress,17
BS45,1
NewYork,13
MTA,12
LIRR,12
MetroNorth,12
NYC,15
rail,19
wank,3
nocum,3
public,3
bate,3
risky,3
risk,3
small,3
cock,3
england,3
suffolk,3
norwichtolondon,3
dare,3
OhioNews,1
BeaverCountyPa,8
Roanoke,1
mikesrandomthoughts,7
redwave2024,7
bluelivesmatter,7
Senate,13
houseofrepresentatives,7
atwar,7
ATWA,7
JoeBiden,107
KamalaHarris,9
CandaceOwens,7
antifascist,7
BLM,7
blacklivesmatter,9
veterans,7
secondamendment,7
supremecourt,7
Greed,4
Danville,1
CapitolHill,1
CBS,3
CBSNews,2
Grill,1
lawmakers,1
Wake,2
LockEmUp,5
UPDATE,2117
environment,23
AlabamaTrainWreck,1
NorfolkDisaster,1
pcxinc,1
SenateHearing,1
wealthmanagement,5
charteredwealthmanager,5
GESARA,1
NESARA,1
DECLAS,1
世界緊急放送,1
大量逮捕,1
union,5
Unions,3
freight,7
railroad,16
National,1
Security,1
investigators,1
PeopleOverProfits,2
livetube,13
property,2
fridaymorning,1
